ID	Target	Tweet	label	categorical	polarity	subjectivity
20001	Hate	Easyjet quiere duplicar el número de mujeres piloto' Verás tú para aparcar el avión..	1	CATEGORICAL	0	0
20002	Hate	El gobierno debe crear un control estricto de inmigración en las zonas fronterizas con Colombia por q después del 20-8querrán venir en masa	1	CATEGORICAL	0	0
20003	Hate	Yo veo a mujeres destruidas por acoso laboral y callejero. Otras con depresión debido a violación sexual o maltrato físico. Y conocí a varias que se suicidaron por este tipo de comportamientos machistas. Vas a seguir con tu show pobre?	0	CATEGORICAL	0	0
20004	Hate	— Yo soy respetuoso con los demás, sólamente les recuerdo lo que son. Y si son escoria no es culpa mía. ... — ¡Claro que lo sé! ¿¡Por quién me tomas!?	0	CATEGORICAL	0	0
20007	Hate	Antonio Caballero y como ser de mal gusto e ignorante a la vez. Claro que no es lo mismo acoso sexual y violación pero hay varias conductas que componen la violencia sexual.	0	CATEGORICAL	0	0
20008	Hate	Cuánto hijo de puta sobra en el mundo...	0	CATEGORICAL	0	0
20009	Hate	Pablo Casado debería estudiar un máster en inmigración	0	CATEGORICAL	0	0
20010	Hate	vos me haces eso te pego una patada en la cara	0	CATEGORICAL	0	0
20012	Hate	: Detienen en Guatapanal motocicleta y nacional haitiano indocumentado	0	CATEGORICAL	0	0
20013	Hate	Llora te lo.mereces por zorra	1	CATEGORICAL	0	0
20014	Hate	Padres indocumentados realizaron una huelga de hambre para pedir ser liberados	0	CATEGORICAL	0	0
20015	Hate	No sé porque hay personas que piensan que todos los inmigrantes son delincuentes	0	CATEGORICAL	0	0
20016	Hate	A Tomi Alegre JAKSKKSJSJ — Cállate q tdv estoy de duelo puta	0	CATEGORICAL	0	0
20017	Hate	Callate gallina puta y cntala cmo quieras!! Bolso culo facil!! Jajajaaj hijooo	1	CATEGORICAL	0	0
20018	Hate	Albondigas! Casi al estilo de las fodongas pero en el Gabacho.	0	CATEGORICAL	0	0
20020	Hate	Todos: - -PPK, presidente de lujo -Perú no va al mundial 2017: Já, ilusos.	0	CATEGORICAL	0	0
20021	Hate	El juez cita a declarar a la menor que denunció abusos por parte de jugadores de la	0	CATEGORICAL	0	0
20022	Hate	VAMOOOO LA PUTA MADRE SE LO MERECÍA TANTO ESFUERZO Y HABER PASADO TANTOS TELÉFONOS NECESITÁBAMOS ESTE DESCANSO	0	CATEGORICAL	0	0
20023	Hate	Pd a ver si cierran de una puta vez Tv3 que no sé todavía qué servicio público ofrece para que merezca dinero de nuestros impuestos o solo hace daño que roben unos?	0	CATEGORICAL	0	0
20024	Hate	Yo estaba claro que esta vida de trabajador inmigrante fundido máquina iba a ser difícil. Y es verdad, es difícil jajaja	0	CATEGORICAL	0	0
20025	Hate	Mira de vd estoy hasta la polla ya, no aguanto más tonterías	0	CATEGORICAL	0	0
20026	Hate	No tienes ni puta idea.la melodia es mi novia es sevillista...una puta mas.	1	CATEGORICAL	0	0
20027	Hate	Diappoler* jajaja cállate Pepe niño polla Si me han llenado de notificaciónes jajajajaja	0	CATEGORICAL	0	0
20028	Hate	¿Mojigatas, moralinas? ¿Neta? ¿Por estar en contra del acoso sexual y la violación en el trabajo?	0	CATEGORICAL	0	0
20029	Hate	Si cualquier cosa es violación o acoso, se minimizan la violación y el acoso. Por lo tanto, pierden las víctimas de las mierdas que se dedican a violar y/o acosar.	0	CATEGORICAL	0	0
20030	Hate	Que divertido que consideres que una piba por estar con uno con novia es una zorra... si mal no recuerdo tambien te habias metido con uno CON novia, no hay que hacer lo que no nos gusta que nos hagan🙆🙆🙅	0	CATEGORICAL	0	0
20031	Hate	Odio los viejos que se creen que se merecen todo, hijo de puta tú lo que te mereces es una tumba.	0	CATEGORICAL	0	0
20032	Hate	Tu eres demasiado perra 😂	1	CATEGORICAL	0	0
20034	Hate	El papapapartido imimimporta... callate tartaja!!! Come polla de madeira	0	CATEGORICAL	0	0
20035	Hate	callate la puta boca gordo almagro	0	CATEGORICAL	0	0
20036	Hate	Es un gran regalo???? Y una polla un regalo, aquí no le han regalado nada. Se lo ha currado muchísimo, ya vale con las tonterías	0	CATEGORICAL	0	0
