,ID,Target,Tweet,label,categorical,subjectivity,polarity
0,201,Hate,"Hurray, saving us $$$ in so many ways",1,CAT,0,0
1,202,Hate,"Why would young fighting age men be the vast majority of the ones escaping a war &amp; not those who cannot fight like women, children, and the elderly?It's because the majority of the refugees are not actually refugees they are economic migrants trying to get into Europe....",1,CAT,0,0
2,203,Hate,"Illegals Dump their Kids at the border like Road Kill and Refuse to Unite! They Hope they get Amnesty, Free Education and Welfare Illegal in their Country not on the Taxpayer Dime Its a SCAM",1,CAT,0,0
3,204,Hate,NY Times: 'Nearly All White' States Pose 'an Array of Problems' for Immigrants,0,CAT,0,0
4,205,Hate,"Orban in Brussels: European leaders are ignoring the will of the people, they do not want migrants",0,CAT,0,0
5,206,Hate,LEGAL is. Not illegal.,1,CAT,0,0
6,207,Hate,"Antifa are just a pack of druggie misfits that no one loves, being the violent thugs they are is their cry for attention and their hit of self importance.",0,CAT,0,0
7,208,Hate,Ex-Teacher Pleads Not guilty To Rape Charges,0,CAT,0,0
8,209,Hate,still places on our Bengali (Sylheti) class! it's London's nd language! know anyone interested,0,CAT,0,0
9,210,Hate,DFID Africa Regional Profile: July,0,CAT,0,0
10,211,Hate,Watch: Benjamin Netanyahu backs Trump's decision to cut aid to the Palestinians and UNRWA - Free Speech Time -,0,CAT,0,0
11,212,Hate,"Illegals are dumping their kids heres o they can get welfare, aid and U.S School Ripping off U.S Taxpayers ! Stop Alowing illegals to Abuse the Taxpayer via",1,CAT,0,0
12,213,Hate,"While Costa Rica has received the most asylum claims, Panama, Mexico and the USA have also recorded a growing trend of claims by Nicaraguans in need of international refugee protection.",0,CAT,0,0
13,214,Hate,"US immigrant policy to enter US has always been - education or skill &amp; sponsor to take responsibility them. In last yrs, US has taken in so many with no education or means to support themselves - many never learn English. With Catch &amp; Release too many go on welfare-",0,CAT,0,0
14,215,Hate,Italys populist coalition poised to defy EU with plans to deport migrants,0,CAT,0,0
15,216,Hate,"Lithuania, Romania aided CIA torture, top European Union court rules EU court is a joke ! Why are they silent as Europe is being destroyed with FORCED islamist immigration...",1,CAT,0,0
16,217,Hate,"Worldbank reports that in the next years many refugees have to leave her homeland, specially in Africa. Who will feed them ? Is Europe able to shoot them down and protect her own homeland, before it will destroyed from Africans ?",1,CAT,0,0
17,218,Hate,Rich African Countries don't take in African MigrantsRich muslim countries don't take in muslim migrantsRich latin american countries don't take it latin migrantsBut white countries are suppose to accept them??,1,CAT,0,0
18,219,Hate,New research uncovers successes and failures of UKs help for Syrian immigrants,0,CAT,0,0
19,220,Hate,Immigration why us Million EU Migrants allowed and their families also more money leaving the EU no thats to pay for their passage to get to the Uk...,0,CAT,0,0
20,221,Hate,Close the tunnels with gunpowder !,0,CAT,0,0
21,222,Hate,Hitler left a stain on Germany for the atrocities he committed against the Jews. Trump will leave a stain on America for the atrocities he's commiting against these immigrant families. I only hope there is a reenactment of the Nuremberg Trials at the end of his reign.,0,CAT,0,0
22,223,Hate,"Over the past two weeks, refugees arrived in the US. have arrived in FY18, but we are nearly behind schedule. We will continue to stand for the vulnerable!",0,CAT,0,0
23,224,Hate,Church leaders determine to ease problems at the heart of plaguing,0,CAT,0,0
24,225,Hate,And why should he now buckle to their demands that he swear undying trust for these A******* ????? THEY are the enemy of this nation!,0,CAT,0,0
25,226,Hate,"How about discussing this? 's ""black box"" of American success. ://",1,CAT,0,0
26,227,Hate,"It is a cruel irony that sikhs often **look** more exotic to American eyes, even though they tend to be among the most deeply assimilated of immigrant groups. of course the people they're mistaken for also don't deserve to be attacked.",0,CAT,0,0
27,228,Hate,EUs hailed migrant plan a road to Hell Czech Republic refuses involvement,1,CAT,0,0
28,229,Hate,Could you open up your home to refugees in need?,0,CAT,0,0
29,230,Hate,"MS-13 spreads to states, fed by illegals, DACA recipients, tied to murders creates more Illegal Migration, always has, always will.",1,CAT,0,0
30,231,Hate,Activists chained to Italian transport ministry to protest immigration policy,0,CAT,0,0
31,232,Hate,"Spain: migrants riot to protest against the slow WIFI, the uncomfortable bed and the disgusting food In the shelter - Free Speech Time -",0,CAT,0,0
32,233,Hate,"Please listen to a Syrian refugee now in Germany. He asks that people around the world demand that the annihilation of women and children, deliberate attacks on hospitals and medial people and the mass bombings be tried as the crimes they truly are.",0,CAT,0,0
33,234,Hate,The real truth is after Cologne and in the Nordic countries and Others no one trusts any refugees a better life for them doesn't mean . u,1,CAT,0,0
34,235,Hate,"Federal judge to : ""imminent danger"" of ""irreparable injury to , visa-holders"", etc.",0,CAT,0,0
