,text_id,text,task_1,task_2,task_3
2287,hasoc_en_2288,I see the unscrupulous and opportunistic has decided to back expansion .  End of retreat from commitment to lie in front of the bulldozers .  On the bright side he may now support and in a few months . ,NOT,NONE,NONE
4801,hasoc_en_4802," ,  IS the foreign threat .  He plainly stated hell choose foreign adversaries over democracy because why not .  You have a sworn oath to defend the republic .  IMPEACH HIM .  DO IT NOW . ",NOT,NONE,NONE
4683,hasoc_en_4684,We don ' t need to check date of birth of a,HOF,HATE,TIN
1567,hasoc_en_1568,Hey Is It True The Obama ' s R Getting A Divorce ? ,NOT,NONE,NONE
5841,hasoc_en_5842,"Youre really stabbin .  .  . er ,  grabbin straws here .  Go away",HOF,OFFN,TIN
3036,hasoc_en_3037,India generates so much revenue for the ICC and yet they comply when Pak asks them to degrade their army soldier .  India should boycott this world cup to keep the respect of their army !  !  ! ,HOF,OFFN,TIN
3265,hasoc_en_3266,ji are presstitutes authorised to belittle / disrespect the Officers  & amp ;  their armed forces under the garb of journalism ? ,NOT,NONE,NONE
4372,hasoc_en_4373,"That fucking bloke with the megaphone trumpet thing that keeps shouting no brexit on the news needs locking up ,  it does however interest me what means of employment he may pursue",HOF,PRFN,UNT
4397,hasoc_en_4398,Says the man who is just returning from a twitter ban youre all criminals !  Impeach immediately ! ,HOF,PRFN,UNT
5716,hasoc_en_5717,R .  Kelly is a Child Molester and Sexual Predator Lock R .  Up !  ! ,HOF,OFFN,TIN
3337,hasoc_en_3338,you contribute around  %  of the total  ' s revenue .  Despite this you are acting helpless .  Take a stand .  Be brutal when it comes to our Indian Para Forces .  is our national pride .  Thank you,NOT,NONE,NONE
768,hasoc_en_769,vs how many competent Doctors Intelligent General Class  ( NonResereved )  in Bihar to save babies ! ,NOT,NONE,NONE
2911,hasoc_en_2912,Arnab BJP ko itna support mat karo !  ! jo Party tumhare channel ko Banned karne ki baat kiya tha !  ! Sambit Patra when children died in Bihar then what were you doing ?  ! ,HOF,HATE,TIN
5690,hasoc_en_5691,Thanks for fund raising on the promise of Obamacare repeal from Republican voters only to screw them over by deciding it was more important to put yourself first just to screw Trump in a personal vendetta .  A RINO LIKE YOU !   ' preciate it . ,HOF,HATE,TIN
3340,hasoc_en_3341,is the place will hunt for the  ' real '  killer oh wait of  & amp ;  is not not guilty,NOT,NONE,NONE
325,hasoc_en_326,The real w / faults described perfectly . ,NOT,NONE,NONE
5622,hasoc_en_5623,If you can watch when they see us and not shed a tear then you aint got a heart or soul .  Absolutely Unbelievable what they Went through  & amp ;  scary to think the amount of people its happened too  & amp ;  theyve never had justice . ,HOF,PRFN,TIN
4695,hasoc_en_4696,I hope I live long enough to see be president . ,HOF,PRFN,TIN
2082,hasoc_en_2083,Because we are also human just like u We too hv families We need your support We always tried and will try our best for you Dear indian change your mentality and say no to mob lynching of doctors Support protest,NOT,NONE,NONE
330,hasoc_en_331,This picture tells everything How takes care of ground How takes care of ground And remember it is head of all cricketing nations,NOT,NONE,NONE
446,hasoc_en_447,As long as its not that ahole from Iceland Wolf Stansson .   . ,NOT,NONE,NONE
1354,hasoc_en_1355,"Let me coin a new term for Trump :  What ,  was already coined ?  So was  .  .  . ",NOT,NONE,NONE
5229,hasoc_en_5230,Have to agree that his undeserved Hollywood Star should bear the epithet TRAITOR for all to see for posterity,NOT,NONE,NONE
2262,hasoc_en_2263,"Protest against Mamta Banerjee and effigy burning in SCB Medical College ,  Cuttack ,  odisha . ",NOT,NONE,NONE
5582,hasoc_en_5583,Inhraham is as stupid and partisan as they come .  Shes almost as repugnant as you .  Almost . ,HOF,PRFN,TIN
2492,hasoc_en_2493,Keep it moving,NOT,NONE,NONE
449,hasoc_en_450,Mitch admits  ' s trade war is just a tax hike  ' on working - class people ' ,NOT,NONE,NONE
2478,hasoc_en_2479,"Im thinking he cant make it on the outside and wants to go bck to the can ,  looks like he will be successful",NOT,NONE,NONE
3663,hasoc_en_3664,Except now we kill them in the womb up until birth .  What is wrong with you ?  ! ,HOF,OFFN,TIN
4480,hasoc_en_4481,"You could meme the heck out of this ,  but also it sits untouched pretty well too . ",HOF,PRFN,UNT
3861,hasoc_en_3862,We all know the story of the Ant  & amp ;  the Grasshopper .  What are you ?  Call to book an appointment with a SEBI Registered Investment Advisor now ! ,NOT,NONE,NONE
4106,hasoc_en_4107,"BJP workers being lynched , CBI officials heckled , PM & amp ; Amit Shah rallies not allowed , Durga Puja not allowed , Jai Sri Ram banned , abusing the PM in the worst possible way , today she cares two hoots for her citizens health .  What else is required to impose president rule ? ",HOF,HATE,TIN
116,hasoc_en_117,In the severity of punishment for Holding just is equivalent the crime done by a or a Or Launderer or extortionist .  Really amazed to see where we are Heading . ,NOT,NONE,NONE
1898,hasoc_en_1899,"MTK Engineering Mode shortcut app to change android mac address  ( seriously , no root necessary  (  )   (  ,   ,   ,   ,   ,   ,   ,   ) ",NOT,NONE,NONE
5475,hasoc_en_5476,Pic  -  icc chiefs Pic  -  watching mausam aaj tak,HOF,HATE,TIN
4321,hasoc_en_4322,"If this isn ' t an impeachable offense ,  what is ? ",HOF,HATE,TIN
3366,hasoc_en_3367,Wishing all of you a very peaceful  .  Why not celebrate the memory of a true American Patriot by getting rid of the treasonous criminal in the White House ? ,NOT,NONE,NONE
4145,hasoc_en_4146, / 2 years ?  ?  Can you ever stop lying ? ,HOF,HATE,TIN
1062,hasoc_en_1063,I love you  !  !  !  !  Thank you for your support !  !  ! ,HOF,PRFN,TIN
